item,subject,condition,semantic,RT
ma-nma.06,8,ma-nma,1,337
ma-nma.06,9,ma-nma,1,181
ma-nma.06,10,ma-nma,1,107
ma-nma.06,11,ma-nma,1,699.2
ma-nma.06,12,ma-nma,1,454
ma-nma.06,13,ma-nma,1,136
ma-nma.06,14,ma-nma,1,595.3
ma-nma.06,15,ma-nma,1,753
ma-nma.06,16,ma-nma,1,347
ma-nma.06,17,ma-nma,1,88
ma-nma.06,18,ma-nma,1,176
ma-nma.06,19,ma-nma,1,127
ma-nma.06,20,ma-nma,1,508
ma-nma.06,21,ma-nma,1,802
ma-nma.06,22,ma-nma,1,206
ma-nma.06,23,ma-nma,1,377
ma-nma.06,24,ma-nma,1,116
ma-nma.06,25,ma-nma,1,152
ma-nma.06,26,ma-nma,1,150
ma-nma.06,27,ma-nma,1,102
ma-nma.06,28,ma-nma,1,97
ma-nma.06,29,ma-nma,1,401
ma-nma.06,30,ma-nma,1,132
ma-nma.06,31,ma-nma,1,278
ma-nma.06,32,ma-nma,1,361
ma-nma.06,33,ma-nma,1,268
ma-nma.06,34,ma-nma,1,195
ma-nma.06,35,ma-nma,1,230
ma-nma.06,36,ma-nma,1,0
ma-nma.06,37,ma-nma,1,675
ma-nma.07,1,ma-nma,1,216.5
ma-nma.07,2,ma-nma,1,0
ma-nma.07,3,ma-nma,1,58
ma-nma.07,4,ma-nma,1,229
ma-nma.07,5,ma-nma,1,205
ma-nma.07,6,ma-nma,1,541.9
ma-nma.07,7,ma-nma,1,0
ma-nma.07,8,ma-nma,1,302
ma-nma.07,9,ma-nma,1,406
ma-nma.07,10,ma-nma,1,914.6
ma-nma.07,11,ma-nma,1,381
ma-nma.07,12,ma-nma,1,332
ma-nma.07,13,ma-nma,1,195
ma-nma.07,15,ma-nma,1,494
ma-nma.07,16,ma-nma,1,479
ma-nma.07,17,ma-nma,1,146
ma-nma.07,18,ma-nma,1,190
ma-nma.07,19,ma-nma,1,112
ma-nma.07,20,ma-nma,1,547
ma-nma.07,21,ma-nma,1,186
ma-nma.07,22,ma-nma,1,146
ma-nma.07,23,ma-nma,1,372
ma-nma.07,24,ma-nma,1,790
ma-nma.07,25,ma-nma,1,140
ma-nma.07,26,ma-nma,1,136
ma-nma.07,27,ma-nma,1,562
ma-nma.07,28,ma-nma,1,53
ma-nma.07,29,ma-nma,1,156
ma-nma.07,30,ma-nma,1,200
ma-nma.07,31,ma-nma,1,156
ma-nma.07,32,ma-nma,1,684.6
ma-nma.07,33,ma-nma,1,401
ma-nma.07,34,ma-nma,1,127
ma-nma.07,35,ma-nma,1,180
ma-nma.07,36,ma-nma,1,137
ma-nma.07,37,ma-nma,1,63
ma-nma.08,1,ma-nma,1,362.3
ma-nma.08,2,ma-nma,1,195
ma-nma.08,3,ma-nma,1,58
ma-nma.08,4,ma-nma,1,171
ma-nma.08,5,ma-nma,1,210
ma-nma.08,6,ma-nma,1,1149.3
ma-nma.08,7,ma-nma,1,185
ma-nma.08,8,ma-nma,1,156
ma-nma.08,9,ma-nma,1,190
ma-nma.08,10,ma-nma,1,190
ma-nma.08,11,ma-nma,1,704
ma-nma.08,12,ma-nma,1,371
ma-nma.08,13,ma-nma,1,503
