item,subject,semantic,condition,RT
ma-nma.06,12,1,ma-nma,0
ma-nma.06,13,1,ma-nma,161
ma-nma.06,14,1,ma-nma,195
ma-nma.06,15,1,ma-nma,151
ma-nma.06,16,1,ma-nma,308.1
ma-nma.06,17,1,ma-nma,132
ma-nma.06,18,1,ma-nma,151
ma-nma.06,19,1,ma-nma,107
ma-nma.06,20,1,ma-nma,220
ma-nma.06,21,1,ma-nma,132
ma-nma.06,22,1,ma-nma,140
ma-nma.06,23,1,ma-nma,201
ma-nma.06,24,1,ma-nma,176
ma-nma.06,25,1,ma-nma,135
ma-nma.06,26,1,ma-nma,135
ma-nma.06,27,1,ma-nma,185
ma-nma.06,28,1,ma-nma,0
ma-nma.06,29,1,ma-nma,0
ma-nma.06,30,1,ma-nma,625.6
ma-nma.06,31,1,ma-nma,229
ma-nma.06,32,1,ma-nma,0
ma-nma.06,33,1,ma-nma,308
ma-nma.06,34,1,ma-nma,156
ma-nma.06,35,1,ma-nma,938.9
ma-nma.06,36,1,ma-nma,0
ma-nma.06,37,1,ma-nma,0
ma-nma.07,2,1,ma-nma,0
ma-nma.07,3,1,ma-nma,53
ma-nma.07,4,1,ma-nma,205
ma-nma.07,5,1,ma-nma,0
ma-nma.07,6,1,ma-nma,0
ma-nma.07,7,1,ma-nma,0
ma-nma.07,8,1,ma-nma,811
ma-nma.07,9,1,ma-nma,792.5
ma-nma.07,10,1,ma-nma,391.3
ma-nma.07,11,1,ma-nma,225
ma-nma.07,12,1,ma-nma,973.1
ma-nma.07,13,1,ma-nma,137
ma-nma.07,14,1,ma-nma,205
ma-nma.07,15,1,ma-nma,88
ma-nma.07,16,1,ma-nma,102
ma-nma.07,17,1,ma-nma,0
ma-nma.07,18,1,ma-nma,170
ma-nma.07,19,1,ma-nma,1061.2
ma-nma.07,20,1,ma-nma,190
ma-nma.07,21,1,ma-nma,151
ma-nma.07,22,1,ma-nma,266
ma-nma.07,23,1,ma-nma,135
ma-nma.07,24,1,ma-nma,573.5
ma-nma.07,25,1,ma-nma,205
ma-nma.07,26,1,ma-nma,126
ma-nma.07,27,1,ma-nma,0
ma-nma.07,28,1,ma-nma,0
ma-nma.07,29,1,ma-nma,0
ma-nma.07,30,1,ma-nma,58
ma-nma.07,31,1,ma-nma,435
ma-nma.07,32,1,ma-nma,0
