Participant,Stimulus,condition,semantic,RT
P02,ma-nma.01.rtf,ma-nma,1,195
P03,ma-nma.01.rtf,ma-nma,1,68
P04,ma-nma.01.rtf,ma-nma,1,176
P05,ma-nma.01.rtf,ma-nma,1,83
P06,ma-nma.01.rtf,ma-nma,1,0
P07,ma-nma.01.rtf,ma-nma,1,132
P08,ma-nma.01.rtf,ma-nma,1,611
P09,ma-nma.01.rtf,ma-nma,1,224
P10,ma-nma.01.rtf,ma-nma,1,205
P11,ma-nma.01.rtf,ma-nma,1,0
P12,ma-nma.01.rtf,ma-nma,1,0
P13,ma-nma.01.rtf,ma-nma,1,127
P14,ma-nma.01.rtf,ma-nma,1,180
P15,ma-nma.01.rtf,ma-nma,1,224
P16,ma-nma.01.rtf,ma-nma,1,146
P17,ma-nma.01.rtf,ma-nma,1,0
P18,ma-nma.01.rtf,ma-nma,1,215
P19,ma-nma.01.rtf,ma-nma,1,92
P20,ma-nma.01.rtf,ma-nma,1,0
P21,ma-nma.01.rtf,ma-nma,1,0
P22,ma-nma.01.rtf,ma-nma,1,181
P23,ma-nma.01.rtf,ma-nma,1,563
P24,ma-nma.01.rtf,ma-nma,1,120
P25,ma-nma.01.rtf,ma-nma,1,151
P26,ma-nma.01.rtf,ma-nma,1,201
P27,ma-nma.01.rtf,ma-nma,1,141
P28,ma-nma.01.rtf,ma-nma,1,0
P29,ma-nma.01.rtf,ma-nma,1,342
P30,ma-nma.01.rtf,ma-nma,1,127
P31,ma-nma.01.rtf,ma-nma,1,112
P32,ma-nma.01.rtf,ma-nma,1,161
P33,ma-nma.01.rtf,ma-nma,1,361
P34,ma-nma.01.rtf,ma-nma,1,0
P35,ma-nma.01.rtf,ma-nma,1,288
P36,ma-nma.01.rtf,ma-nma,1,171
P37,ma-nma.01.rtf,ma-nma,1,0
P01,ma-nma.02.rtf,ma-nma,1,352
P02,ma-nma.02.rtf,ma-nma,1,244
P03,ma-nma.02.rtf,ma-nma,1,127
P04,ma-nma.02.rtf,ma-nma,1,117
P05,ma-nma.02.rtf,ma-nma,1,117
P06,ma-nma.02.rtf,ma-nma,1,0
P07,ma-nma.02.rtf,ma-nma,1,0
P08,ma-nma.02.rtf,ma-nma,1,205
P09,ma-nma.02.rtf,ma-nma,1,327
P10,ma-nma.02.rtf,ma-nma,1,141
P11,ma-nma.02.rtf,ma-nma,1,151
P12,ma-nma.02.rtf,ma-nma,1,195
P13,ma-nma.02.rtf,ma-nma,1,136
P14,ma-nma.02.rtf,ma-nma,1,0
P15,ma-nma.02.rtf,ma-nma,1,366
P16,ma-nma.02.rtf,ma-nma,1,180
P17,ma-nma.02.rtf,ma-nma,1,68
P18,ma-nma.02.rtf,ma-nma,1,0
P19,ma-nma.02.rtf,ma-nma,1,0
P20,ma-nma.02.rtf,ma-nma,1,92
P21,ma-nma.02.rtf,ma-nma,1,73
P22,ma-nma.02.rtf,ma-nma,1,0
P23,ma-nma.02.rtf,ma-nma,1,60
P24,ma-nma.02.rtf,ma-nma,1,231
P25,ma-nma.02.rtf,ma-nma,1,0
P26,ma-nma.02.rtf,ma-nma,1,156
P27,ma-nma.02.rtf,ma-nma,1,244
P28,ma-nma.02.rtf,ma-nma,1,176
P29,ma-nma.02.rtf,ma-nma,1,151
P30,ma-nma.02.rtf,ma-nma,1,0
P31,ma-nma.02.rtf,ma-nma,1,68
P32,ma-nma.02.rtf,ma-nma,1,166
P33,ma-nma.02.rtf,ma-nma,1,205
P34,ma-nma.02.rtf,ma-nma,1,0
P35,ma-nma.02.rtf,ma-nma,1,0
P36,ma-nma.02.rtf,ma-nma,1,122
P37,ma-nma.02.rtf,ma-nma,1,0
