Participant,Stimulus,condition,parallel,semantic,RT
P01,ma-ma.12.rtf,ma-ma,2,1,347
P02,ma-ma.12.rtf,ma-ma,2,1,0
P03,ma-ma.12.rtf,ma-ma,2,1,141
P04,ma-ma.12.rtf,ma-ma,2,1,367
P05,ma-ma.12.rtf,ma-ma,2,1,288
P06,ma-ma.12.rtf,ma-ma,2,1,181
P07,ma-ma.12.rtf,ma-ma,2,1,308
P08,ma-ma.12.rtf,ma-ma,2,1,298
P09,ma-ma.12.rtf,ma-ma,2,1,112
P10,ma-ma.12.rtf,ma-ma,2,1,205
P11,ma-ma.12.rtf,ma-ma,2,1,449
P12,ma-ma.12.rtf,ma-ma,2,1,0
P13,ma-ma.12.rtf,ma-ma,2,1,332
P14,ma-ma.12.rtf,ma-ma,2,1,483
P15,ma-ma.12.rtf,ma-ma,2,1,264
P16,ma-ma.12.rtf,ma-ma,2,1,205
P17,ma-ma.12.rtf,ma-ma,2,1,0
P18,ma-ma.12.rtf,ma-ma,2,1,464
P19,ma-ma.12.rtf,ma-ma,2,1,102
P20,ma-ma.12.rtf,ma-ma,2,1,0
P21,ma-ma.12.rtf,ma-ma,2,1,498
P22,ma-ma.12.rtf,ma-ma,2,1,105
P23,ma-ma.12.rtf,ma-ma,2,1,0
P24,ma-ma.12.rtf,ma-ma,2,1,220
P25,ma-ma.12.rtf,ma-ma,2,1,251
P26,ma-ma.12.rtf,ma-ma,2,1,276
P27,ma-ma.12.rtf,ma-ma,2,1,166
P28,ma-ma.12.rtf,ma-ma,2,1,0
P29,ma-ma.12.rtf,ma-ma,2,1,176
P30,ma-ma.12.rtf,ma-ma,2,1,283
P31,ma-ma.12.rtf,ma-ma,2,1,185
P32,ma-ma.12.rtf,ma-ma,2,1,361
P33,ma-ma.12.rtf,ma-ma,2,1,489
P34,ma-ma.12.rtf,ma-ma,2,1,200
P35,ma-ma.12.rtf,ma-ma,2,1,132
P36,ma-ma.12.rtf,ma-ma,2,1,132
P37,ma-ma.12.rtf,ma-ma,2,1,459
P01,ma-nma.01.rtf,ma-nma,1,2,156
P02,ma-nma.01.rtf,ma-nma,1,2,0
P03,ma-nma.01.rtf,ma-nma,1,2,58
P04,ma-nma.01.rtf,ma-nma,1,2,112
P05,ma-nma.01.rtf,ma-nma,1,2,146
P06,ma-nma.01.rtf,ma-nma,1,2,156
P07,ma-nma.01.rtf,ma-nma,1,2,185
P08,ma-nma.01.rtf,ma-nma,1,2,146
P09,ma-nma.01.rtf,ma-nma,1,2,73
P10,ma-nma.01.rtf,ma-nma,1,2,127
P11,ma-nma.01.rtf,ma-nma,1,2,435
P12,ma-nma.01.rtf,ma-nma,1,2,122
P13,ma-nma.01.rtf,ma-nma,1,2,332
P14,ma-nma.01.rtf,ma-nma,1,2,244
P15,ma-nma.01.rtf,ma-nma,1,2,220
P16,ma-nma.01.rtf,ma-nma,1,2,225
P17,ma-nma.01.rtf,ma-nma,1,2,151
P18,ma-nma.01.rtf,ma-nma,1,2,200
P19,ma-nma.01.rtf,ma-nma,1,2,239
P20,ma-nma.01.rtf,ma-nma,1,2,308
P21,ma-nma.01.rtf,ma-nma,1,2,58
P22,ma-nma.01.rtf,ma-nma,1,2,181
P23,ma-nma.01.rtf,ma-nma,1,2,161
P24,ma-nma.01.rtf,ma-nma,1,2,201
P25,ma-nma.01.rtf,ma-nma,1,2,251
P26,ma-nma.01.rtf,ma-nma,1,2,317
P27,ma-nma.01.rtf,ma-nma,1,2,293
P28,ma-nma.01.rtf,ma-nma,1,2,757
P29,ma-nma.01.rtf,ma-nma,1,2,0
P30,ma-nma.01.rtf,ma-nma,1,2,146
P31,ma-nma.01.rtf,ma-nma,1,2,122
P32,ma-nma.01.rtf,ma-nma,1,2,0
P33,ma-nma.01.rtf,ma-nma,1,2,298
P34,ma-nma.01.rtf,ma-nma,1,2,146
P35,ma-nma.01.rtf,ma-nma,1,2,146
P36,ma-nma.01.rtf,ma-nma,1,2,0
P37,ma-nma.01.rtf,ma-nma,1,2,332
P01,ma-nma.02.rtf,ma-nma,1,2,513
P02,ma-nma.02.rtf,ma-nma,1,2,156
P03,ma-nma.02.rtf,ma-nma,1,2,151
P04,ma-nma.02.rtf,ma-nma,1,2,68
P05,ma-nma.02.rtf,ma-nma,1,2,0
P06,ma-nma.02.rtf,ma-nma,1,2,357
P07,ma-nma.02.rtf,ma-nma,1,2,181
P08,ma-nma.02.rtf,ma-nma,1,2,268
P09,ma-nma.02.rtf,ma-nma,1,2,195
P10,ma-nma.02.rtf,ma-nma,1,2,263
P11,ma-nma.02.rtf,ma-nma,1,2,396
P12,ma-nma.02.rtf,ma-nma,1,2,405
P13,ma-nma.02.rtf,ma-nma,1,2,381
P14,ma-nma.02.rtf,ma-nma,1,2,1178
P15,ma-nma.02.rtf,ma-nma,1,2,176
P16,ma-nma.02.rtf,ma-nma,1,2,229
P17,ma-nma.02.rtf,ma-nma,1,2,185
P18,ma-nma.02.rtf,ma-nma,1,2,151
P19,ma-nma.02.rtf,ma-nma,1,2,151
P20,ma-nma.02.rtf,ma-nma,1,2,141
P21,ma-nma.02.rtf,ma-nma,1,2,190
P22,ma-nma.02.rtf,ma-nma,1,2,186
P23,ma-nma.02.rtf,ma-nma,1,2,201
P24,ma-nma.02.rtf,ma-nma,1,2,166
P25,ma-nma.02.rtf,ma-nma,1,2,85
P26,ma-nma.02.rtf,ma-nma,1,2,302
P27,ma-nma.02.rtf,ma-nma,1,2,313
P28,ma-nma.02.rtf,ma-nma,1,2,322
P29,ma-nma.02.rtf,ma-nma,1,2,146
P30,ma-nma.02.rtf,ma-nma,1,2,132
P31,ma-nma.02.rtf,ma-nma,1,2,190
P32,ma-nma.02.rtf,ma-nma,1,2,337
