Stimulus,Participant,condition,semantic,RT
nma-ma.04.rtf,P05,nma-ma,2,78.2
nma-ma.11.rtf,P22,nma-ma,2,181
nma-ma.04.rtf,P37,nma-ma,2,0
nma-ma.11.rtf,P24,nma-ma,2,120.6
nma-ma.11.rtf,P26,nma-ma,2,261.7
nma-ma.11.rtf,P30,nma-ma,2,136.8
nma-ma.11.rtf,P32,nma-ma,2,215.1
nma-ma.11.rtf,P34,nma-ma,2,112.5
nma-ma.11.rtf,P36,nma-ma,2,190.8
nma-ma.12.rtf,P01,nma-ma,2,719.8
nma-ma.04.rtf,P17,nma-ma,2,0
nma-ma.12.rtf,P02,nma-ma,2,176.1
nma-ma.04.rtf,P22,nma-ma,2,75.5
nma-ma.12.rtf,P05,nma-ma,2,381.4
nma-ma.04.rtf,P24,nma-ma,2,0
nma-ma.12.rtf,P07,nma-ma,2,83.1
nma-ma.12.rtf,P08,nma-ma,2,771.1
nma-ma.12.rtf,P09,nma-ma,2,166.2
nma-ma.12.rtf,P19,nma-ma,2,523.3
nma-ma.04.rtf,P28,nma-ma,2,0
nma-ma.12.rtf,P21,nma-ma,2,670
nma-ma.12.rtf,P23,nma-ma,2,247.7
nma-ma.12.rtf,P25,nma-ma,2,216.5
nma-ma.12.rtf,P27,nma-ma,2,239.6
nma-ma.04.rtf,P30,nma-ma,2,0
nma-ma.05.rtf,P03,nma-ma,2,0
nma-ma.12.rtf,P29,nma-ma,2,83.2
nma-ma.05.rtf,P04,nma-ma,2,0
nma-ma.12.rtf,P35,nma-ma,2,273.8
nma-ma.12.rtf,P10,nma-ma,2,200.5
nma-ma.12.rtf,P11,nma-ma,2,166.3
nma-ma.05.rtf,P06,nma-ma,2,0
nma-ma.05.rtf,P33,nma-ma,2,0
nma-ma.12.rtf,P12,nma-ma,2,503.8
nma-ma.12.rtf,P13,nma-ma,2,699.3
nma-ma.12.rtf,P14,nma-ma,2,171.2
nma-ma.05.rtf,P13,nma-ma,2,68.5
nma-ma.12.rtf,P15,nma-ma,2,233.9
nma-ma.12.rtf,P16,nma-ma,2,127.4
nma-ma.12.rtf,P17,nma-ma,2,542.8
nma-ma.12.rtf,P18,nma-ma,2,405.9
nma-ma.12.rtf,P20,nma-ma,2,391.2
nma-ma.12.rtf,P22,nma-ma,2,533.6
nma-ma.05.rtf,P15,nma-ma,2,63.6
nma-ma.12.rtf,P24,nma-ma,2,246.6
nma-ma.12.rtf,P26,nma-ma,2,679.5
nma-ma.06.rtf,P04,nma-ma,2,0
nma-ma.12.rtf,P30,nma-ma,2,396
nma-ma.12.rtf,P32,nma-ma,2,278.8
nma-ma.06.rtf,P06,nma-ma,2,0
nma-ma.12.rtf,P34,nma-ma,2,215.2
nma-nma.01.rtf,P01,nma-nma,2,126
nma-nma.01.rtf,P02,nma-nma,2,171.2
nma-nma.01.rtf,P04,nma-nma,2,405.9
nma-nma.01.rtf,P05,nma-nma,2,214.9
nma-nma.01.rtf,P06,nma-nma,2,205.4
nma-ma.06.rtf,P12,nma-ma,2,0
nma-ma.06.rtf,P13,nma-ma,2,0
nma-nma.01.rtf,P08,nma-nma,2,136.9
nma-nma.01.rtf,P09,nma-nma,2,132.1
nma-ma.06.rtf,P30,nma-ma,2,58.6
nma-nma.01.rtf,P19,nma-nma,2,122.3
nma-nma.01.rtf,P21,nma-nma,2,317.9
nma-ma.06.rtf,P36,nma-ma,2,0
nma-ma.07.rtf,P04,nma-ma,2,0
nma-nma.01.rtf,P23,nma-nma,2,126.3
nma-nma.01.rtf,P25,nma-nma,2,181.4
nma-nma.01.rtf,P27,nma-nma,2,102.6
nma-nma.01.rtf,P29,nma-nma,2,147.1
nma-nma.01.rtf,P31,nma-nma,2,293.3
nma-nma.01.rtf,P33,nma-nma,2,83.1
nma-nma.01.rtf,P37,nma-nma,2,220.1
nma-ma.07.rtf,P05,nma-ma,2,0
nma-nma.01.rtf,P10,nma-nma,2,415.5
nma-nma.01.rtf,P11,nma-nma,2,704.1
nma-nma.01.rtf,P12,nma-nma,2,513.6
nma-nma.01.rtf,P13,nma-nma,2,180.8
nma-nma.01.rtf,P14,nma-nma,2,327.1
nma-ma.07.rtf,P06,nma-ma,2,58.7
nma-ma.07.rtf,P07,nma-ma,2,0
nma-ma.07.rtf,P21,nma-ma,2,68.4
nma-ma.07.rtf,P29,nma-ma,2,0
nma-nma.01.rtf,P15,nma-nma,2,454.8
nma-nma.01.rtf,P16,nma-nma,2,161
nma-nma.01.rtf,P17,nma-nma,2,548.3
nma-nma.01.rtf,P20,nma-nma,2,454.8
nma-ma.07.rtf,P14,nma-ma,2,78.6
nma-nma.01.rtf,P22,nma-nma,2,342.3
nma-nma.01.rtf,P26,nma-nma,2,553.6
nma-nma.01.rtf,P28,nma-nma,2,801.2
nma-ma.07.rtf,P17,nma-ma,2,0
nma-nma.01.rtf,P30,nma-nma,2,366.8
nma-nma.01.rtf,P32,nma-nma,2,879.8
nma-nma.01.rtf,P34,nma-nma,2,180.8
nma-nma.02.rtf,P01,nma-nma,2,1194.2
nma-nma.02.rtf,P02,nma-nma,2,166.3
nma-ma.07.rtf,P26,nma-ma,2,75.5
nma-nma.02.rtf,P03,nma-nma,2,357.1
nma-nma.02.rtf,P06,nma-nma,2,215.2
nma-nma.02.rtf,P07,nma-nma,2,288.3
nma-nma.02.rtf,P08,nma-nma,2,860.8
nma-nma.02.rtf,P09,nma-nma,2,161.5
nma-nma.02.rtf,P19,nma-nma,2,92.8
nma-nma.02.rtf,P21,nma-nma,2,117.5
nma-nma.02.rtf,P23,nma-nma,2,135.9
nma-nma.02.rtf,P25,nma-nma,2,120.8
nma-nma.02.rtf,P27,nma-nma,2,200.4
nma-nma.02.rtf,P31,nma-nma,2,533.3
nma-nma.02.rtf,P33,nma-nma,2,190.8
nma-nma.02.rtf,P35,nma-nma,2,102.7
nma-nma.02.rtf,P10,nma-nma,2,215.2
nma-nma.02.rtf,P11,nma-nma,2,371.7
nma-nma.02.rtf,P12,nma-nma,2,386.3
nma-nma.02.rtf,P13,nma-nma,2,156.2
nma-nma.02.rtf,P14,nma-nma,2,606.4
nma-nma.02.rtf,P15,nma-nma,2,132
nma-nma.02.rtf,P16,nma-nma,2,107.7
nma-nma.02.rtf,P18,nma-nma,2,332.6
nma-ma.07.rtf,P28,nma-ma,2,0
nma-nma.02.rtf,P20,nma-nma,2,161.4
nma-ma.07.rtf,P32,nma-ma,2,78.2
nma-nma.02.rtf,P22,nma-nma,2,327.1
nma-nma.02.rtf,P26,nma-nma,2,271.8
nma-nma.02.rtf,P32,nma-nma,2,97.8
nma-ma.07.rtf,P34,nma-ma,2,0
nma-ma.07.rtf,P36,nma-ma,2,0
nma-ma.08.rtf,P04,nma-ma,2,53.8
nma-nma.02.rtf,P36,nma-nma,2,190.9
nma-ma.08.rtf,P06,nma-ma,2,0
nma-ma.08.rtf,P37,nma-ma,2,0
nma-nma.03.rtf,P01,nma-nma,2,1051.7
nma-nma.03.rtf,P02,nma-nma,2,112.4
nma-ma.08.rtf,P16,nma-ma,2,53.8
nma-ma.08.rtf,P34,nma-ma,2,0
nma-nma.03.rtf,P03,nma-nma,2,332.5
nma-nma.03.rtf,P04,nma-nma,2,239.6
nma-ma.09.rtf,P02,nma-ma,2,0
nma-nma.03.rtf,P05,nma-nma,2,92.9
nma-nma.03.rtf,P06,nma-nma,2,166.3
nma-ma.09.rtf,P07,nma-ma,2,0
nma-nma.03.rtf,P07,nma-nma,2,205.5
nma-nma.03.rtf,P08,nma-nma,2,449.9
