Participant,Stimulus,condition,parallel,semantic,RT
P31,ma-ma.09.rtf,ma-ma,2,1,377
P32,ma-ma.09.rtf,ma-ma,2,1,220
P33,ma-ma.09.rtf,ma-ma,2,1,0
P34,ma-ma.09.rtf,ma-ma,2,1,0
P35,ma-ma.09.rtf,ma-ma,2,1,0
P36,ma-ma.09.rtf,ma-ma,2,1,0
P37,ma-ma.09.rtf,ma-ma,2,1,410
P01,ma-ma.10.rtf,ma-ma,2,1,417
P02,ma-ma.10.rtf,ma-ma,2,1,63
P03,ma-ma.10.rtf,ma-ma,2,1,68
P04,ma-ma.10.rtf,ma-ma,2,1,78
P05,ma-ma.10.rtf,ma-ma,2,1,0
P06,ma-ma.10.rtf,ma-ma,2,1,396
P07,ma-ma.10.rtf,ma-ma,2,1,1091
P08,ma-ma.10.rtf,ma-ma,2,1,517
P09,ma-ma.10.rtf,ma-ma,2,1,0
P10,ma-ma.10.rtf,ma-ma,2,1,0
P11,ma-ma.10.rtf,ma-ma,2,1,0
P12,ma-ma.10.rtf,ma-ma,2,1,0
P13,ma-ma.10.rtf,ma-ma,2,1,0
P15,ma-ma.10.rtf,ma-ma,2,1,327
P16,ma-ma.10.rtf,ma-ma,2,1,0
P17,ma-ma.10.rtf,ma-ma,2,1,0
P18,ma-ma.10.rtf,ma-ma,2,1,0
P19,ma-ma.10.rtf,ma-ma,2,1,679
P20,ma-ma.10.rtf,ma-ma,2,1,249
P21,ma-ma.10.rtf,ma-ma,2,1,68
P22,ma-ma.10.rtf,ma-ma,2,1,0
P23,ma-ma.10.rtf,ma-ma,2,1,0
P24,ma-ma.10.rtf,ma-ma,2,1,377
P25,ma-ma.10.rtf,ma-ma,2,1,402
P26,ma-ma.10.rtf,ma-ma,2,1,0
P27,ma-ma.10.rtf,ma-ma,2,1,0
P28,ma-ma.10.rtf,ma-ma,2,1,0
P29,ma-ma.10.rtf,ma-ma,2,1,542
P30,ma-ma.10.rtf,ma-ma,2,1,337
P31,ma-ma.10.rtf,ma-ma,2,1,78
P32,ma-ma.10.rtf,ma-ma,2,1,0
P33,ma-ma.10.rtf,ma-ma,2,1,220
P34,ma-ma.10.rtf,ma-ma,2,1,0
P35,ma-ma.10.rtf,ma-ma,2,1,0
P36,ma-ma.10.rtf,ma-ma,2,1,127
P37,ma-ma.10.rtf,ma-ma,2,1,352
P01,ma-ma.11.rtf,ma-ma,2,1,493
P02,ma-ma.11.rtf,ma-ma,2,1,0
P03,ma-ma.11.rtf,ma-ma,2,1,0
P04,ma-ma.11.rtf,ma-ma,2,1,0
P05,ma-ma.11.rtf,ma-ma,2,1,0
P06,ma-ma.11.rtf,ma-ma,2,1,234
P07,ma-ma.11.rtf,ma-ma,2,1,0
P08,ma-ma.11.rtf,ma-ma,2,1,0
P09,ma-ma.11.rtf,ma-ma,2,1,0
P10,ma-ma.11.rtf,ma-ma,2,1,0
P11,ma-ma.11.rtf,ma-ma,2,1,0
P12,ma-ma.11.rtf,ma-ma,2,1,0
P13,ma-ma.11.rtf,ma-ma,2,1,0
P15,ma-ma.11.rtf,ma-ma,2,1,445
P16,ma-ma.11.rtf,ma-ma,2,1,0
P17,ma-ma.11.rtf,ma-ma,2,1,312
P18,ma-ma.11.rtf,ma-ma,2,1,220
P19,ma-ma.11.rtf,ma-ma,2,1,355
P20,ma-ma.11.rtf,ma-ma,2,1,171
P21,ma-ma.11.rtf,ma-ma,2,1,317
P22,ma-ma.11.rtf,ma-ma,2,1,0
P23,ma-ma.11.rtf,ma-ma,2,1,312
P24,ma-ma.11.rtf,ma-ma,2,1,105
P25,ma-ma.11.rtf,ma-ma,2,1,0
P26,ma-ma.11.rtf,ma-ma,2,1,0
P27,ma-ma.11.rtf,ma-ma,2,1,0
P28,ma-ma.11.rtf,ma-ma,2,1,0
P29,ma-ma.11.rtf,ma-ma,2,1,0
P30,ma-ma.11.rtf,ma-ma,2,1,0
P31,ma-ma.11.rtf,ma-ma,2,1,0
P32,ma-ma.11.rtf,ma-ma,2,1,0
P33,ma-ma.11.rtf,ma-ma,2,1,0
P34,ma-ma.11.rtf,ma-ma,2,1,0
P35,ma-ma.11.rtf,ma-ma,2,1,0
P36,ma-ma.11.rtf,ma-ma,2,1,0
P37,ma-ma.11.rtf,ma-ma,2,1,0
P01,ma-ma.12.rtf,ma-ma,2,1,0
P02,ma-ma.12.rtf,ma-ma,2,1,0
P03,ma-ma.12.rtf,ma-ma,2,1,78
P04,ma-ma.12.rtf,ma-ma,2,1,117
P05,ma-ma.12.rtf,ma-ma,2,1,264
P06,ma-ma.12.rtf,ma-ma,2,1,842
P07,ma-ma.12.rtf,ma-ma,2,1,0
P08,ma-ma.12.rtf,ma-ma,2,1,0
P09,ma-ma.12.rtf,ma-ma,2,1,313
P10,ma-ma.12.rtf,ma-ma,2,1,0
P11,ma-ma.12.rtf,ma-ma,2,1,0
P12,ma-ma.12.rtf,ma-ma,2,1,0
P13,ma-ma.12.rtf,ma-ma,2,1,0
P14,ma-ma.12.rtf,ma-ma,2,1,987
P15,ma-ma.12.rtf,ma-ma,2,1,0
P16,ma-ma.12.rtf,ma-ma,2,1,200
P17,ma-ma.12.rtf,ma-ma,2,1,0
P18,ma-ma.12.rtf,ma-ma,2,1,259
P19,ma-ma.12.rtf,ma-ma,2,1,0
P20,ma-ma.12.rtf,ma-ma,2,1,0
P21,ma-ma.12.rtf,ma-ma,2,1,0
P22,ma-ma.12.rtf,ma-ma,2,1,222
P23,ma-ma.12.rtf,ma-ma,2,1,0
P24,ma-ma.12.rtf,ma-ma,2,1,337
P25,ma-ma.12.rtf,ma-ma,2,1,1107
P26,ma-ma.12.rtf,ma-ma,2,1,307
P27,ma-ma.12.rtf,ma-ma,2,1,107
P28,ma-ma.12.rtf,ma-ma,2,1,0
P29,ma-ma.12.rtf,ma-ma,2,1,313
P30,ma-ma.12.rtf,ma-ma,2,1,472
P31,ma-ma.12.rtf,ma-ma,2,1,136
P32,ma-ma.12.rtf,ma-ma,2,1,0
