Participant,Stimulus,condition,semantic,RT
P03,ma-ma.10.rtf,ma-ma,1,0
P04,ma-ma.10.rtf,ma-ma,1,234
P05,ma-ma.10.rtf,ma-ma,1,0
P06,ma-ma.10.rtf,ma-ma,1,1100
P07,ma-ma.10.rtf,ma-ma,1,0
P08,ma-ma.10.rtf,ma-ma,1,0
P09,ma-ma.10.rtf,ma-ma,1,0
P10,ma-ma.10.rtf,ma-ma,1,0
P11,ma-ma.10.rtf,ma-ma,1,0
P12,ma-ma.10.rtf,ma-ma,1,0
P13,ma-ma.10.rtf,ma-ma,1,0
P14,ma-ma.10.rtf,ma-ma,1,200
P15,ma-ma.10.rtf,ma-ma,1,0
P16,ma-ma.10.rtf,ma-ma,1,0
P17,ma-ma.10.rtf,ma-ma,1,0
P18,ma-ma.10.rtf,ma-ma,1,0
P19,ma-ma.10.rtf,ma-ma,1,0
P20,ma-ma.10.rtf,ma-ma,1,537
P21,ma-ma.10.rtf,ma-ma,1,0
P22,ma-ma.10.rtf,ma-ma,1,0
P23,ma-ma.10.rtf,ma-ma,1,135
P24,ma-ma.10.rtf,ma-ma,1,226
P25,ma-ma.10.rtf,ma-ma,1,201
P26,ma-ma.10.rtf,ma-ma,1,0
P27,ma-ma.10.rtf,ma-ma,1,0
P28,ma-ma.10.rtf,ma-ma,1,141
P29,ma-ma.10.rtf,ma-ma,1,0
P30,ma-ma.10.rtf,ma-ma,1,376
P31,ma-ma.10.rtf,ma-ma,1,0
P32,ma-ma.10.rtf,ma-ma,1,630
P33,ma-ma.10.rtf,ma-ma,1,0
P34,ma-ma.10.rtf,ma-ma,1,0
P35,ma-ma.10.rtf,ma-ma,1,78
P36,ma-ma.10.rtf,ma-ma,1,0
P37,ma-ma.10.rtf,ma-ma,1,136
P01,ma-ma.11.rtf,ma-ma,1,468
P02,ma-ma.11.rtf,ma-ma,1,0
P03,ma-ma.11.rtf,ma-ma,1,0
P04,ma-ma.11.rtf,ma-ma,1,112
P05,ma-ma.11.rtf,ma-ma,1,0
P06,ma-ma.11.rtf,ma-ma,1,190
P07,ma-ma.11.rtf,ma-ma,1,425
P08,ma-ma.11.rtf,ma-ma,1,0
P09,ma-ma.11.rtf,ma-ma,1,92
P10,ma-ma.11.rtf,ma-ma,1,0
P11,ma-ma.11.rtf,ma-ma,1,200
P12,ma-ma.11.rtf,ma-ma,1,0
P13,ma-ma.11.rtf,ma-ma,1,190
P14,ma-ma.11.rtf,ma-ma,1,704
P15,ma-ma.11.rtf,ma-ma,1,474
P16,ma-ma.11.rtf,ma-ma,1,161
P17,ma-ma.11.rtf,ma-ma,1,0
P18,ma-ma.11.rtf,ma-ma,1,0
P19,ma-ma.11.rtf,ma-ma,1,591
P20,ma-ma.11.rtf,ma-ma,1,278
P21,ma-ma.11.rtf,ma-ma,1,665
P22,ma-ma.11.rtf,ma-ma,1,0
P23,ma-ma.11.rtf,ma-ma,1,789
P24,ma-ma.11.rtf,ma-ma,1,442
P25,ma-ma.11.rtf,ma-ma,1,216
P26,ma-ma.11.rtf,ma-ma,1,478
P27,ma-ma.11.rtf,ma-ma,1,127
P28,ma-ma.11.rtf,ma-ma,1,0
P29,ma-ma.11.rtf,ma-ma,1,733
P30,ma-ma.11.rtf,ma-ma,1,640
P31,ma-ma.11.rtf,ma-ma,1,146
P32,ma-ma.11.rtf,ma-ma,1,274
P33,ma-ma.11.rtf,ma-ma,1,0
P34,ma-ma.11.rtf,ma-ma,1,0
P35,ma-ma.11.rtf,ma-ma,1,0
P36,ma-ma.11.rtf,ma-ma,1,0
P37,ma-ma.11.rtf,ma-ma,1,308
P01,ma-ma.12.rtf,ma-ma,1,417
P02,ma-ma.12.rtf,ma-ma,1,0
P03,ma-ma.12.rtf,ma-ma,1,0
P04,ma-ma.12.rtf,ma-ma,1,146
P05,ma-ma.12.rtf,ma-ma,1,259
P06,ma-ma.12.rtf,ma-ma,1,87
P07,ma-ma.12.rtf,ma-ma,1,244
P08,ma-ma.12.rtf,ma-ma,1,323
P09,ma-ma.12.rtf,ma-ma,1,0
P10,ma-ma.12.rtf,ma-ma,1,0
P11,ma-ma.12.rtf,ma-ma,1,317
P12,ma-ma.12.rtf,ma-ma,1,0
P13,ma-ma.12.rtf,ma-ma,1,0
P14,ma-ma.12.rtf,ma-ma,1,841
P15,ma-ma.12.rtf,ma-ma,1,440
P16,ma-ma.12.rtf,ma-ma,1,0
P17,ma-ma.12.rtf,ma-ma,1,0
P18,ma-ma.12.rtf,ma-ma,1,107
P19,ma-ma.12.rtf,ma-ma,1,228
P20,ma-ma.12.rtf,ma-ma,1,0
P21,ma-ma.12.rtf,ma-ma,1,259
P22,ma-ma.12.rtf,ma-ma,1,0
P23,ma-ma.12.rtf,ma-ma,1,55
P24,ma-ma.12.rtf,ma-ma,1,246
P25,ma-ma.12.rtf,ma-ma,1,543
P26,ma-ma.12.rtf,ma-ma,1,573
P27,ma-ma.12.rtf,ma-ma,1,0
P28,ma-ma.12.rtf,ma-ma,1,0
P29,ma-ma.12.rtf,ma-ma,1,785
P30,ma-ma.12.rtf,ma-ma,1,137
P31,ma-ma.12.rtf,ma-ma,1,362
P32,ma-ma.12.rtf,ma-ma,1,298
P33,ma-ma.12.rtf,ma-ma,1,0
P34,ma-ma.12.rtf,ma-ma,1,0
P35,ma-ma.12.rtf,ma-ma,1,0
P36,ma-ma.12.rtf,ma-ma,1,0
P37,ma-ma.12.rtf,ma-ma,1,224
P01,ma-nma.01.rtf,ma-nma,1,684
P02,ma-nma.01.rtf,ma-nma,1,317
P03,ma-nma.01.rtf,ma-nma,1,0
P04,ma-nma.01.rtf,ma-nma,1,308
P05,ma-nma.01.rtf,ma-nma,1,0
P07,ma-nma.01.rtf,ma-nma,1,58
P08,ma-nma.01.rtf,ma-nma,1,0
P09,ma-nma.01.rtf,ma-nma,1,225
P10,ma-nma.01.rtf,ma-nma,1,0
P11,ma-nma.01.rtf,ma-nma,1,0
P12,ma-nma.01.rtf,ma-nma,1,0
P13,ma-nma.01.rtf,ma-nma,1,0
P14,ma-nma.01.rtf,ma-nma,1,190
P15,ma-nma.01.rtf,ma-nma,1,366
P16,ma-nma.01.rtf,ma-nma,1,0
P17,ma-nma.01.rtf,ma-nma,1,0
P18,ma-nma.01.rtf,ma-nma,1,0
P19,ma-nma.01.rtf,ma-nma,1,552
P20,ma-nma.01.rtf,ma-nma,1,464
P21,ma-nma.01.rtf,ma-nma,1,855
P22,ma-nma.01.rtf,ma-nma,1,0
P23,ma-nma.01.rtf,ma-nma,1,146
P24,ma-nma.01.rtf,ma-nma,1,0
P25,ma-nma.01.rtf,ma-nma,1,261
P26,ma-nma.01.rtf,ma-nma,1,216
P27,ma-nma.01.rtf,ma-nma,1,0
P28,ma-nma.01.rtf,ma-nma,1,112
P29,ma-nma.01.rtf,ma-nma,1,464
P30,ma-nma.01.rtf,ma-nma,1,567
P31,ma-nma.01.rtf,ma-nma,1,92
P32,ma-nma.01.rtf,ma-nma,1,0
P33,ma-nma.01.rtf,ma-nma,1,0
P34,ma-nma.01.rtf,ma-nma,1,0
P35,ma-nma.01.rtf,ma-nma,1,337
P36,ma-nma.01.rtf,ma-nma,1,0
P37,ma-nma.01.rtf,ma-nma,1,151
P02,ma-nma.02.rtf,ma-nma,1,0
P03,ma-nma.02.rtf,ma-nma,1,0
P04,ma-nma.02.rtf,ma-nma,1,503
P05,ma-nma.02.rtf,ma-nma,1,0
P06,ma-nma.02.rtf,ma-nma,1,616
P07,ma-nma.02.rtf,ma-nma,1,0
P08,ma-nma.02.rtf,ma-nma,1,0
P09,ma-nma.02.rtf,ma-nma,1,0
P10,ma-nma.02.rtf,ma-nma,1,0
P11,ma-nma.02.rtf,ma-nma,1,0
P12,ma-nma.02.rtf,ma-nma,1,0
P13,ma-nma.02.rtf,ma-nma,1,215
P14,ma-nma.02.rtf,ma-nma,1,0
P15,ma-nma.02.rtf,ma-nma,1,792
P16,ma-nma.02.rtf,ma-nma,1,0
P17,ma-nma.02.rtf,ma-nma,1,0
P18,ma-nma.02.rtf,ma-nma,1,0
P19,ma-nma.02.rtf,ma-nma,1,371
P21,ma-nma.02.rtf,ma-nma,1,171
P22,ma-nma.02.rtf,ma-nma,1,0
P23,ma-nma.02.rtf,ma-nma,1,322
P24,ma-nma.02.rtf,ma-nma,1,322
P25,ma-nma.02.rtf,ma-nma,1,377
P26,ma-nma.02.rtf,ma-nma,1,121
P27,ma-nma.02.rtf,ma-nma,1,0
P28,ma-nma.02.rtf,ma-nma,1,293
P29,ma-nma.02.rtf,ma-nma,1,367
P30,ma-nma.02.rtf,ma-nma,1,499
P31,ma-nma.02.rtf,ma-nma,1,0
P32,ma-nma.02.rtf,ma-nma,1,679
P33,ma-nma.02.rtf,ma-nma,1,0
P34,ma-nma.02.rtf,ma-nma,1,0
P35,ma-nma.02.rtf,ma-nma,1,425
P36,ma-nma.02.rtf,ma-nma,1,0
P37,ma-nma.02.rtf,ma-nma,1,581
P01,ma-nma.03.rtf,ma-nma,1,256
P02,ma-nma.03.rtf,ma-nma,1,195
P03,ma-nma.03.rtf,ma-nma,1,0
P04,ma-nma.03.rtf,ma-nma,1,0
P05,ma-nma.03.rtf,ma-nma,1,0
P06,ma-nma.03.rtf,ma-nma,1,0
P07,ma-nma.03.rtf,ma-nma,1,0
P08,ma-nma.03.rtf,ma-nma,1,293
P09,ma-nma.03.rtf,ma-nma,1,0
P10,ma-nma.03.rtf,ma-nma,1,0
P11,ma-nma.03.rtf,ma-nma,1,518
P12,ma-nma.03.rtf,ma-nma,1,0
P13,ma-nma.03.rtf,ma-nma,1,0
P14,ma-nma.03.rtf,ma-nma,1,763
P15,ma-nma.03.rtf,ma-nma,1,200
P16,ma-nma.03.rtf,ma-nma,1,0
P17,ma-nma.03.rtf,ma-nma,1,0
P18,ma-nma.03.rtf,ma-nma,1,293
P19,ma-nma.03.rtf,ma-nma,1,332
P20,ma-nma.03.rtf,ma-nma,1,0
P21,ma-nma.03.rtf,ma-nma,1,181
P22,ma-nma.03.rtf,ma-nma,1,0
P23,ma-nma.03.rtf,ma-nma,1,221
P24,ma-nma.03.rtf,ma-nma,1,0
P25,ma-nma.03.rtf,ma-nma,1,760
P26,ma-nma.03.rtf,ma-nma,1,0
P27,ma-nma.03.rtf,ma-nma,1,0
P28,ma-nma.03.rtf,ma-nma,1,503
P29,ma-nma.03.rtf,ma-nma,1,655
P30,ma-nma.03.rtf,ma-nma,1,132
P31,ma-nma.03.rtf,ma-nma,1,0
