Stimulus,Participant,condition,parallel,semantic,RT
ma-nma.03.rtf,P01,ma-nma,1,2,156.4
ma-nma.01.rtf,P32,ma-nma,1,2,0
ma-nma.01.rtf,P34,ma-nma,1,2,0
ma-nma.01.rtf,P36,ma-nma,1,2,0
ma-nma.02.rtf,P02,ma-nma,1,2,0
ma-nma.02.rtf,P03,ma-nma,1,2,73.4
ma-nma.02.rtf,P04,ma-nma,1,2,0
ma-nma.02.rtf,P05,ma-nma,1,2,0
ma-nma.02.rtf,P06,ma-nma,1,2,0
ma-nma.02.rtf,P09,ma-nma,1,2,0
ma-nma.02.rtf,P19,ma-nma,1,2,0
ma-nma.02.rtf,P21,ma-nma,1,2,0
ma-nma.02.rtf,P23,ma-nma,1,2,0
ma-nma.02.rtf,P25,ma-nma,1,2,0
ma-nma.02.rtf,P27,ma-nma,1,2,0
ma-nma.02.rtf,P29,ma-nma,1,2,0
ma-nma.02.rtf,P31,ma-nma,1,2,0
ma-nma.03.rtf,P03,ma-nma,1,2,278.7
ma-nma.02.rtf,P33,ma-nma,1,2,0
ma-nma.02.rtf,P35,ma-nma,1,2,0
ma-nma.02.rtf,P37,ma-nma,1,2,0
ma-nma.02.rtf,P10,ma-nma,1,2,0
ma-nma.02.rtf,P11,ma-nma,1,2,0
ma-nma.02.rtf,P12,ma-nma,1,2,0
ma-nma.02.rtf,P13,ma-nma,1,2,0
ma-nma.02.rtf,P14,ma-nma,1,2,0
