subjects,items,condition,parallel,semantic,RT
P24,ma-nma.03.rtf,ma-nma,1,2,674.4
P26,ma-nma.03.rtf,ma-nma,1,2,1238.3
P27,ma-nma.03.rtf,ma-nma,1,2,993.1
P28,ma-nma.03.rtf,ma-nma,1,2,1291.2
P29,ma-nma.03.rtf,ma-nma,1,2,630.8
P30,ma-nma.03.rtf,ma-nma,1,2,1159
P31,ma-nma.03.rtf,ma-nma,1,2,455.6
P32,ma-nma.03.rtf,ma-nma,1,2,1628.5
P33,ma-nma.03.rtf,ma-nma,1,2,959
P34,ma-nma.03.rtf,ma-nma,1,2,493.8
P35,ma-nma.03.rtf,ma-nma,1,2,357.1
P36,ma-nma.03.rtf,ma-nma,1,2,601.7
P37,ma-nma.03.rtf,ma-nma,1,2,992.4
P01,ma-nma.04.rtf,ma-nma,1,2,1258.5
