subjects,items,condition,parallel,semantic,RT
P22,ma-ma.02.rtf,ma-ma,2,1,427
P24,ma-ma.02.rtf,ma-ma,2,1,412
P34,ma-ma.02.rtf,ma-ma,2,1,405
P14,ma-ma.02.rtf,ma-ma,2,1,401
P20,ma-ma.02.rtf,ma-ma,2,1,401
P05,ma-ma.02.rtf,ma-ma,2,1,396
P05,ma-ma.02.rtf,ma-ma,2,1,396
P07,ma-ma.02.rtf,ma-ma,2,1,395
P23,ma-ma.02.rtf,ma-ma,2,1,392
P05,ma-ma.02.rtf,ma-ma,2,1,391
P06,ma-ma.02.rtf,ma-ma,2,1,391
P37,ma-ma.02.rtf,ma-ma,2,1,376
P07,ma-ma.02.rtf,ma-ma,2,1,366
P33,ma-ma.02.rtf,ma-ma,2,1,361
P33,ma-ma.02.rtf,ma-ma,2,1,361
P15,ma-ma.02.rtf,ma-ma,2,1,361
P27,ma-ma.02.rtf,ma-ma,2,1,352
P04,ma-ma.02.rtf,ma-ma,2,1,348
P07,ma-ma.02.rtf,ma-ma,2,1,347
P21,ma-ma.02.rtf,ma-ma,2,1,337
P30,ma-ma.02.rtf,ma-ma,2,1,327
P26,ma-ma.02.rtf,ma-ma,2,1,321
P03,ma-ma.02.rtf,ma-ma,2,1,313
