subjects,items,condition,parallel,semantic,RT
P26,ma-ma.11.rtf,ma-ma,2,1,846
P22,ma-ma.11.rtf,ma-ma,2,1,840
P23,ma-ma.11.rtf,ma-ma,2,1,840
P05,ma-ma.11.rtf,ma-ma,2,1,811
P17,ma-ma.11.rtf,ma-ma,2,1,743
P33,ma-ma.11.rtf,ma-ma,2,1,743
P12,ma-ma.11.rtf,ma-ma,2,1,591
P09,ma-ma.11.rtf,ma-ma,2,1,454
P13,ma-ma.11.rtf,ma-ma,2,1,410
P03,ma-ma.11.rtf,ma-ma,2,1,396
P35,ma-ma.11.rtf,ma-ma,2,1,234
P30,ma-ma.11.rtf,ma-ma,2,1,73
P25,ma-ma.12.rtf,ma-ma,2,1,2879
P06,ma-ma.12.rtf,ma-ma,2,1,2201
P33,ma-ma.12.rtf,ma-ma,2,1,1897
P20,ma-ma.12.rtf,ma-ma,2,1,1516
P32,ma-ma.12.rtf,ma-ma,2,1,1452
P27,ma-ma.12.rtf,ma-ma,2,1,1398
P26,ma-ma.12.rtf,ma-ma,2,1,1374
P04,ma-ma.12.rtf,ma-ma,2,1,1336
P02,ma-ma.12.rtf,ma-ma,2,1,1321
P13,ma-ma.12.rtf,ma-ma,2,1,1261
P37,ma-ma.12.rtf,ma-ma,2,1,1232
P23,ma-ma.12.rtf,ma-ma,2,1,1223
P24,ma-ma.12.rtf,ma-ma,2,1,1187
P10,ma-ma.12.rtf,ma-ma,2,1,1178
P08,ma-ma.12.rtf,ma-ma,2,1,1163
P18,ma-ma.12.rtf,ma-ma,2,1,1120
P30,ma-ma.12.rtf,ma-ma,2,1,1064
P14,ma-ma.12.rtf,ma-ma,2,1,987
P16,ma-ma.12.rtf,ma-ma,2,1,958
P21,ma-ma.12.rtf,ma-ma,2,1,958
P34,ma-ma.12.rtf,ma-ma,2,1,856
P05,ma-ma.12.rtf,ma-ma,2,1,851
P09,ma-ma.12.rtf,ma-ma,2,1,761
P29,ma-ma.12.rtf,ma-ma,2,1,709
P12,ma-ma.12.rtf,ma-ma,2,1,567
P31,ma-ma.12.rtf,ma-ma,2,1,552
P22,ma-ma.12.rtf,ma-ma,2,1,533
P28,ma-ma.12.rtf,ma-ma,2,1,509
P07,ma-ma.12.rtf,ma-ma,2,1,440
P36,ma-ma.12.rtf,ma-ma,2,1,410
P35,ma-ma.12.rtf,ma-ma,2,1,381
P11,ma-ma.12.rtf,ma-ma,2,1,156
P15,ma-ma.12.rtf,ma-ma,2,1,156
P03,ma-ma.12.rtf,ma-ma,2,1,141
P19,ma-ma.12.rtf,ma-ma,2,1,92
P01,ma-ma.12.rtf,ma-ma,2,1,85
P23,ma-nma.01.rtf,ma-nma,1,2,2355
P15,ma-nma.01.rtf,ma-nma,1,2,2166
P35,ma-nma.01.rtf,ma-nma,1,2,2039
P32,ma-nma.01.rtf,ma-nma,1,2,1814
P07,ma-nma.01.rtf,ma-nma,1,2,1662
P14,ma-nma.01.rtf,ma-nma,1,2,1559
P11,ma-nma.01.rtf,ma-nma,1,2,1554
P12,ma-nma.01.rtf,ma-nma,1,2,1496
P28,ma-nma.01.rtf,ma-nma,1,2,1324
P08,ma-nma.01.rtf,ma-nma,1,2,1295
P24,ma-nma.01.rtf,ma-nma,1,2,1047
P27,ma-nma.01.rtf,ma-nma,1,2,1046
P18,ma-nma.01.rtf,ma-nma,1,2,1022
P06,ma-nma.01.rtf,ma-nma,1,2,1017
P10,ma-nma.01.rtf,ma-nma,1,2,997
